equipment_id,equipment_name,equipment_type_id,rental_fee,equipment_status
1,Fender Vintera II Tele,1,1000.00,UNDAMAGED
2,Squier Bullet Mustang,1,1000.00,UNDAMAGED
3,PRS SE Custom 24,1,1000.00,UNDAMAGED
4,Epiphone LP Special,1,1000.00,UNDAMAGED
5,Gibson Les Paul Custom,1,1000.00,UNDAMAGED
6,SX SJB62+ J Style Vintage Series,2,1000.00,UNDAMAGED
7,Squier Classic Vibe '60s,2,1000.00,UNDAMAGED
8,Yamaha BB435,2,1000.00,UNDAMAGED
9,G&L Tribute L-2000,2,1000.00,UNDAMAGED
10,Schecter Stiletto Studio 6,2,1000.00,UNDAMAGED
11,Casiotone CT-S300,3,800.00,UNDAMAGED
12,Yamaha PSR-E283,3,800.00,UNDAMAGED
13,Roland FP-10,3,800.00,UNDAMAGED
14,Alesis Recital Pro,3,800.00,UNDAMAGED
15,Kurzweil KP10,3,800.00,UNDAMAGED
16,Ludwig Breakbeats,4,2000.00,UNDAMAGED
17,Yamaha Stage Custom Birch ,4,2000.00,UNDAMAGED
18,Gretsch Catalina Club,4,2000.00,UNDAMAGED
19,Tama Imperialstar,4,2000.00,UNDAMAGED
20,Pearl Export EXX ,4,2000.00,UNDAMAGED
21,Wilson Audio Alexandria X-2 Series 2,5,3000.00,MAJ_DMG